30

1 96 10080 135744 216960 0
1 144 8496 135936 218304 0
1 288 15408 148752 198432 0
2 0 0 18960 234480 109440
2 0 192 28896 227808 105984
2 0 432 21168 247968 93312
2 0 960 36144 235920 89856
2 0 2304 47232 239616 73728
1 0 480 91680 270720 0
1 0 3312 94320 265248 0
1 0 7488 103680 251712 0
2 0 0 10800 248400 103680
2 0 0 27840 196800 138240
1 0 0 100800 262080 0
2 0 0 0 362880 0

2 162 4860 52974 234900 69984
1 0 972 105300 256608 0
1 0 6480 123120 233280 0
1 0 3888 123120 235872 0
1 0 7776 142560 212544 0
1 324 11340 137376 213840 0
1 0 5184 162000 195696 0
2 0 0 12960 233280 116640
2 0 0 27216 226800 108864
2 0 324 15228 254016 93312
2 0 1296 37584 238464 85536
2 0 0 41472 259200 62208
1 0 0 77760 285120 0
1 0 2592 84240 276048 0
1 0 7776 103680 251424 0
